train,train,train,train,valid,valid,valid,valid
MSE,MAE,IC,ICIR,MSE,MAE,IC,ICIR
0.16510727066276168,0.3299977655747082,0.0084433853645595,0.058790649060632263,0.042826220924036325,0.16437128248887833,0.7449118770528619,15.299686074874119
0.1650519759081127,0.33186349396293285,0.01067507867656177,0.0805792530204157,0.04936272695114038,0.17526845632176963,0.7053652624200863,11.902375310450218
0.16323513275627025,0.32842389009870776,0.020703552662177008,0.1509868274933095,0.04613970975595548,0.1710761275053219,0.7249862610925907,11.844936862144195
0.1626202505402165,0.3287201963153804,0.02616230125889316,0.18417985336151704,0.04397354544884672,0.16734887965699785,0.7390379132698398,15.816446076639808
0.161701960386345,0.32596052506082707,0.029974305730626573,0.2060747830350546,0.16533266121782914,0.3298066445775382,0.005666882840628861,0.04190234198110086
0.1615693724646184,0.3251309896121294,0.030387462920965086,0.21338355959467642,0.1670524597620183,0.3338402028714223,-0.00023512590004225935,-0.0017390774111607612
0.1610582385026648,0.3266647011868104,0.035245510100214344,0.2508067595316129,0.16527221207934215,0.33055485588837225,0.006131216541408052,0.04618565851483624
0.15950529989484594,0.32304031628091057,0.04227347367110661,0.3005323703218895,0.16561189164804926,0.3314602578599523,0.006516797471765898,0.04769021947478756
,,,,0.16543762531004774,0.330089367500373,0.007535633289906809,0.053623967415339216
,,,,0.16675348800669984,0.33107466692644205,2.9367280071444374e-05,0.00022195890379984987
,,,,0.16545252415891123,0.330921969639985,0.007073112428183486,0.0522096148675804
,,,,0.1646777001571454,0.3281763696472193,0.01210678324528868,0.09534882708181887
